Total Analyzed: 520
----------------------------------------------------------------------------------------------------
Rank | Name            | Code     | Score  | Prof  | Stab  | Cap   | Imp   | Acc  
----------------------------------------------------------------------------------------------------
1    | 산일전기            | 062040   |  100.0 |  -0.1 |   1.0 |   6.0 |   0.2 |  -0.4
2    | 알테오젠            | 196170   |   99.8 |   2.8 |  -0.6 |  -0.1 |   4.6 |  -0.0
3    | SK바이오팜          | 326030   |   99.6 |   3.2 |   1.0 |   0.0 |   0.2 |  -0.0
4    | 에이피알            | 278470   |   99.4 |   3.8 |  -0.1 |  -0.1 |   0.5 |  -0.1
5    | LX홀딩스           | 383800   |   99.2 |   2.4 |   0.2 |   2.2 |  -0.1 |  -0.5
6    | 한미반도체           | 042700   |   99.0 |   3.0 |   0.3 |   0.4 |  -0.0 |  -0.2
7    | 바이오노트           | 377740   |   98.8 |   0.5 |   0.3 |   3.5 |   0.0 |   0.1
8    | 클래시스            | 214150   |   98.7 |   2.3 |   0.7 |   0.4 |   0.1 |  -0.2
9    | 원텍              | 336570   |   98.5 |   2.2 |   0.8 |   0.2 |   0.1 |  -0.1
10   | 파크시스템스          | 140860   |   98.3 |   1.6 |   1.6 |   0.1 |   0.1 |  -0.2
11   | 피에스케이홀딩스        | 031980   |   98.1 |   2.1 |   0.6 |   0.5 |   0.0 |  -0.2
12   | 케어젠             | 214370   |   97.9 |   1.8 |   0.4 |   1.3 |  -0.1 |   0.0
13   | SK하이닉스          | 000660   |   97.7 |   2.5 |   0.2 |  -0.0 |   0.1 |  -0.1
14   | 휴젤              | 145020   |   97.5 |   2.0 |   0.4 |   0.8 |  -0.1 |  -0.3
15   | SK스퀘어           | 402340   |   97.3 |   3.4 |   0.7 |   0.3 |   0.4 |  -5.2
16   | 달바글로벌           | 483650   |   97.1 |   2.5 |  -0.2 |   0.4 |   0.7 |  -1.1
17   | 파마리서치           | 214450   |   96.9 |   2.0 |   0.2 |   0.5 |   0.2 |  -0.1
18   | 실리콘투            | 257720   |   96.7 |   1.8 |   0.7 |   0.1 |   0.1 |  -0.1
19   | 브이티             | 018290   |   96.5 |   2.3 |   0.2 |   0.1 |  -0.1 |  -0.2
20   | 비츠로셀            | 082920   |   96.3 |   1.2 |   0.5 |   0.8 |  -0.0 |  -0.1
21   | 잇츠한불            | 226320   |   96.2 |   0.6 |   0.5 |   1.6 |  -0.1 |  -0.2
22   | 테스              | 095610   |   96.0 |   0.8 |   0.8 |   0.4 |   0.3 |  -0.1
